,timestamp,infected_person,total_infected_person
0,2020/3/5,1,1
1,2020/3/6,0,1
2,2020/3/7,0,1
3,2020/3/8,0,1
4,2020/3/9,0,1
5,2020/3/10,0,1
6,2020/3/11,0,1
7,2020/3/12,0,1
8,2020/3/13,0,1
9,2020/3/14,0,1
10,2020/3/15,1,2
11,2020/3/16,1,3
12,2020/3/17,1,4
13,2020/3/18,0,4
14,2020/3/19,0,4
15,2020/3/20,0,4
16,2020/3/21,0,4
17,2020/3/22,0,4
18,2020/3/23,1,5
19,2020/3/24,0,5
20,2020/3/25,0,5
21,2020/3/26,1,6
22,2020/3/27,0,6
23,2020/3/28,0,6
24,2020/3/29,0,6
25,2020/3/30,0,6
26,2020/3/31,1,7
27,2020/4/1,0,7
28,2020/4/2,1,8
29,2020/4/3,6,14
30,2020/4/4,3,17
31,2020/4/5,1,18
32,2020/4/6,1,19
33,2020/4/7,5,24
34,2020/4/8,2,26
35,2020/4/9,7,33
36,2020/4/10,1,34
37,2020/4/11,4,38
38,2020/4/12,0,38
39,2020/4/13,2,40
40,2020/4/14,11,51
41,2020/4/15,1,52
42,2020/4/16,5,57
43,2020/4/17,11,68
44,2020/4/18,2,70
45,2020/4/19,1,71
46,2020/4/20,1,72
47,2020/4/21,4,76
48,2020/4/22,12,88
49,2020/4/23,4,92
50,2020/4/24,1,93
51,2020/4/25,1,94
52,2020/4/26,0,94
53,2020/4/27,0,94
54,2020/4/28,2,96
55,2020/4/29,0,96
56,2020/4/30,0,96
57,2020/5/1,0,96
58,2020/5/2,0,96
59,2020/5/3,0,96
60,2020/5/4,2,98
61,2020/5/5,0,98
62,2020/5/6,0,98
63,2020/5/7,0,98
64,2020/5/8,0,98
65,2020/5/9,0,98
66,2020/5/10,0,98
67,2020/5/11,0,98
68,2020/5/12,0,98
69,2020/5/13,0,98
70,2020/5/14,0,98
71,2020/5/15,1,99
72,2020/5/16,1,100
73,2020/5/17,0,100
74,2020/5/18,0,100
75,2020/5/19,0,100
76,2020/5/20,0,100
77,2020/5/21,0,100
78,2020/5/22,0,100
79,2020/5/23,1,101
80,2020/5/24,0,101
81,2020/5/25,0,101
82,2020/5/26,0,101
83,2020/5/27,0,101
84,2020/5/28,0,101
85,2020/5/29,0,101
86,2020/5/30,0,101
87,2020/5/31,0,101
88,2020/6/1,0,101
89,2020/6/2,0,101
90,2020/6/3,0,101
91,2020/6/4,0,101
92,2020/6/5,0,101
93,2020/6/6,0,101
94,2020/6/7,0,101
95,2020/6/8,0,101
96,2020/6/9,0,101
97,2020/6/10,0,101
98,2020/6/11,0,101
99,2020/6/12,0,101
100,2020/6/13,0,101
101,2020/6/14,0,101
102,2020/6/15,0,101
103,2020/6/16,0,101
104,2020/6/17,0,101
105,2020/6/18,1,102
106,2020/6/19,0,102
107,2020/6/20,0,102
108,2020/6/21,0,102
109,2020/6/22,0,102
110,2020/6/23,0,102
111,2020/6/24,0,102
112,2020/6/25,0,102
113,2020/6/26,0,102
114,2020/6/27,0,102
115,2020/6/28,0,102
116,2020/6/29,0,102
117,2020/6/30,0,102
118,2020/7/1,0,102
119,2020/7/2,0,102
120,2020/7/3,0,102
121,2020/7/4,0,102
122,2020/7/5,0,102
123,2020/7/6,0,102
124,2020/7/7,1,103
125,2020/7/8,0,103
126,2020/7/9,0,103
127,2020/7/10,0,103
128,2020/7/11,0,103
129,2020/7/12,0,103
130,2020/7/13,0,103
131,2020/7/14,0,103
132,2020/7/15,0,103
133,2020/7/16,0,103
134,2020/7/17,0,103
135,2020/7/18,0,103
136,2020/7/19,0,103
137,2020/7/20,0,103
138,2020/7/21,0,103
139,2020/7/22,0,103